qubits	dep-0.51-avg	dep-0.51-std	dep-0.51-medians	dep-0.51-mads	dep-0.55-avg	dep-0.55-std	dep-0.55-medians	dep-0.55-mads	dep-0.6-avg	dep-0.6-std	dep-0.6-medians	dep-0.6-mads	dep-0.65-avg	dep-0.65-std	dep-0.65-medians	dep-0.65-mads	dep-0.7-avg	dep-0.7-std	dep-0.7-medians	dep-0.7-mads	dep-0.75-avg	dep-0.75-std	dep-0.75-medians	dep-0.75-mads	dep-0.8-avg	dep-0.8-std	dep-0.8-medians	dep-0.8-mads	dep-0.85-avg	dep-0.85-std	dep-0.85-medians	dep-0.85-mads	dep-0.9-avg	dep-0.9-std	dep-0.9-medians	dep-0.9-mads	sqd-0.51-avg	sqd-0.51-std	sqd-0.51-medians	sqd-0.51-mads	sqd-0.55-avg	sqd-0.55-std	sqd-0.55-medians	sqd-0.55-mads	sqd-0.6-avg	sqd-0.6-std	sqd-0.6-medians	sqd-0.6-mads	sqd-0.65-avg	sqd-0.65-std	sqd-0.65-medians	sqd-0.65-mads	sqd-0.7-avg	sqd-0.7-std	sqd-0.7-medians	sqd-0.7-mads	sqd-0.75-avg	sqd-0.75-std	sqd-0.75-medians	sqd-0.75-mads	sqd-0.8-avg	sqd-0.8-std	sqd-0.8-medians	sqd-0.8-mads	sqd-0.85-avg	sqd-0.85-std	sqd-0.85-medians	sqd-0.85-mads	sqd-0.9-avg	sqd-0.9-std	sqd-0.9-medians	sqd-0.9-mads	bim-0.51-avg	bim-0.51-std	bim-0.51-medians	bim-0.51-mads	bim-0.55-avg	bim-0.55-std	bim-0.55-medians	bim-0.55-mads	bim-0.6-avg	bim-0.6-std	bim-0.6-medians	bim-0.6-mads	bim-0.65-avg	bim-0.65-std	bim-0.65-medians	bim-0.65-mads	bim-0.7-avg	bim-0.7-std	bim-0.7-medians	bim-0.7-mads	bim-0.75-avg	bim-0.75-std	bim-0.75-medians	bim-0.75-mads	bim-0.8-avg	bim-0.8-std	bim-0.8-medians	bim-0.8-mads	bim-0.85-avg	bim-0.85-std	bim-0.85-medians	bim-0.85-mads	bim-0.9-avg	bim-0.9-std	bim-0.9-medians	bim-0.9-mads
2	1649.6	1235.0609685192046	1125.0	265.0	1331.2	903.7154285269094	1060.0	280.0	1062.7	662.447032378492	965.0	280.0	890.9	436.3371298767626	850.0	225.0	685.5	328.1456162354534	635.0	235.0	551.3	286.8239702308541	510.0	180.0	393.6	244.04222188098126	340.0	160.0	294.4	198.5519294463509	260.0	110.0	210.9	129.76353785858242	170.0	70.0	1617.0	2232.532873286087	1035.0	225.0	1033.3	488.3905851225673	1010.0	170.0	840.6	418.7085001296344	805.0	240.0	660.4	340.0383816719826	620.0	290.0	542.2	297.33693434427636	450.0	170.0	433.6	299.4895320340592	330.0	140.0	306.3	207.2214206391733	240.0	110.0	227.0	163.5187568396477	180.0	80.0	140.4	87.53550506202983	120.0	50.0	2719.2	4719.290025357029	1055.0	740.0	2848.4	4382.204537223314	1245.0	275.0	1687.9	1711.0622225076822	1045.0	295.0	1006.2	552.6004273643229	955.0	290.0	778.1	487.2800099335166	740.0	295.0	595.0	455.59041502497195	480.0	250.0	405.8	330.0816550338704	285.0	155.0	299.6	243.28525884590127	220.0	100.0	145.4	107.31262740237051	120.0	60.0
3	1222.3	524.8181118302327	1085.0	220.0	1090.6	480.21421987452334	1010.0	190.0	841.5	329.5187031984312	850.0	215.0	728.5	314.406206405444	670.0	250.0	600.3	292.0130583768922	525.0	180.0	471.3	240.52826961679258	420.0	125.0	341.9	200.99597965726542	300.0	110.0	240.7	141.51599831035992	220.0	75.0	149.7	77.64793635507657	125.0	55.0	1333.3	743.6030968578369	1160.0	250.0	1060.5	579.7707227077709	980.0	270.0	858.9	434.20168241279407	825.0	245.0	693.8	399.0943788533275	560.0	210.0	524.9	265.1909736873646	470.0	170.0	431.0	255.0163393458021	365.0	135.0	310.7	188.87896290021985	260.0	90.0	225.9	138.36049386521523	190.0	80.0	152.2	110.96072651295516	120.0	50.0	3020.2	9530.66925904223	975.0	515.0	2350.7	2937.251603080332	1325.0	295.0	1431.6	1118.2388028511712	1050.0	270.0	1092.6	1000.1965665393835	915.0	285.0	761.1	459.4065011874923	645.0	310.0	604.5	457.7665917531034	485.0	300.0	472.6	306.79713957024575	430.0	250.0	304.3	224.347561348075	240.0	135.0	187.3	155.21152071162808	140.0	80.0
4	1191.5	418.03865028405335	1100.0	230.0	1043.0	346.53989523559767	1005.0	175.0	865.7	273.30471025297874	865.0	185.0	704.0	228.88398543340418	705.0	195.0	562.5	216.51218268846958	525.0	145.0	436.1	194.00559712846362	400.0	100.0	326.8	175.98140397625698	280.0	70.0	251.1	145.05933999991905	220.0	60.0	164.8	120.98484753609989	130.0	40.0	1170.1	686.2494981691234	1010.0	130.0	928.2	400.0893334587597	910.0	160.0	742.6	298.648876634672	695.0	190.0	613.7	362.1084579977874	510.0	220.0	510.4	287.99523003906245	390.0	145.0	377.8	233.04128909753823	330.0	110.0	320.0	219.1581689791714	265.0	105.0	216.3	108.5687884162931	200.0	70.0	141.2	76.75594275021803	120.0	40.0	3940.8	10206.963426202641	1035.0	835.0	3303.1	5200.288977013145	1390.0	460.0	1424.4	1008.1579561985633	1060.0	180.0	1067.7	765.2646667010112	965.0	220.0	709.8	401.7763084356792	610.0	250.0	599.2	414.38205179337194	480.0	280.0	423.2	323.24703628130356	340.0	180.0	286.2	225.4054931975624	205.0	115.0	163.1	142.47236131044414	110.0	50.0
5	1174.4	300.87186440057627	1140.0	195.0	994.5	259.2544672476808	1000.0	180.0	822.1	257.53020809374596	790.0	170.0	703.0	233.94940314590082	645.0	140.0	563.3	234.30557187165016	480.0	125.0	445.9	201.59512880919513	385.0	85.0	335.9	181.2866194285678	295.0	75.0	246.0	131.07943462579544	210.0	60.0	150.1	73.66995741998652	130.0	40.0	1099.6	492.1236602417089	1020.0	140.0	921.4	375.68259760256944	850.0	170.0	705.5	277.3335336537738	670.0	190.0	631.1	291.81388492383877	600.0	190.0	474.4	237.2499002139203	400.0	135.0	350.4	193.07673672047144	310.0	110.0	263.4	152.74075217091666	220.0	60.0	206.7	145.48459601197536	170.0	60.0	134.3	97.02915317396399	100.0	40.0	3490.9	11358.340333931457	1000.0	745.0	6530.6	10843.466270878365	3423.0	793.0	1709.5	1770.6264228495315	1245.0	410.0	1054.5	682.451574483605	985.0	285.0	892.2	597.5413936889369	785.0	335.0	628.3	403.5325203121738	555.0	235.0	422.3	390.62978158689623	250.0	115.0	312.7	286.3453272966865	200.0	100.0	184.2	163.3004295861781	135.0	75.0
6	1117.9	252.92349224477536	1060.0	110.0	967.5	233.52535388923175	930.0	120.0	785.1	226.69115286635864	740.0	120.0	652.7	202.83772187179932	605.0	110.0	543.6	195.64717780182312	490.0	90.0	396.8	142.54455266669964	370.0	80.0	312.0	116.80078870634496	285.0	55.0	231.5	97.61162995786056	200.0	55.0	146.3	74.7339388508435	120.0	30.0	1069.8	403.8426036029984	1010.0	175.0	851.2	348.66347990895497	795.0	195.0	691.84	332.9227386331398	600.0	185.0	606.4	264.09946090919095	540.0	165.0	422.18	219.43989214048176	355.0	85.0	328.9	159.33507669897003	285.0	85.0	240.44	137.92710122570276	200.0	65.0	192.8	115.93345356956144	160.0	55.0	113.9	75.32522080212505	93.0	39.0	1677.2	3004.224997962676	990.0	655.0	3109.6	6905.491581328442	1240.0	230.0	1464.88	1018.259371216738	1070.0	249.0	1069.8	706.6394791796972	980.0	305.0	788.14	608.1212834242322	633.0	325.0	519.0	331.066534861273	425.0	195.0	380.74	290.8800516440487	287.0	139.0	278.5	207.82847920262702	220.0	100.0	163.46	138.66283648556387	123.0	63.0
7	1075.8	186.3697855600445	1020.0	75.0	944.1	206.6475797637665	930.0	100.0	782.0	190.07983437057027	727.0	107.0	643.4	185.01553306343627	590.0	100.0	507.32	143.05617177468534	465.0	78.0	418.0	152.74591035871674	380.0	90.0	309.84	141.47153905869675	272.0	63.0	234.2	117.44055018724507	205.0	55.0	146.92	93.4373532903142	116.0	32.0	952.8	299.3801002813053	920.0	160.0	797.9	273.3270324477011	775.0	205.0	622.52	228.68011622254258	569.0	157.0	540.1	259.5353073429042	480.0	150.0	422.1	219.59124101683372	346.0	115.0	341.6	201.53812582639586	270.0	100.0	247.86	148.1294151624303	211.0	68.0	217.2	129.139185737441	190.0	80.0	124.16	77.61010035277415	105.0	43.0	3855.1	14111.67290264025	1005.0	625.0	2616.8	2981.7545780356177	1395.0	415.0	1549.98	1477.3038093264718	1026.0	152.0	1041.2	683.7999589341781	890.0	225.0	749.12	511.57284264641464	615.0	242.0	687.5	450.9258153056786	580.0	280.0	411.12	283.8194503624451	320.0	157.0	304.1	255.01077418316063	230.0	130.0	163.48	122.13409421491187	126.0	72.0
8	1063.7	204.4339561429128	1020.0	90.0	909.4	189.1438445717808	885.0	105.0	759.6	159.99469688181244	722.0	103.0	634.1	154.56092911237562	590.0	100.0	488.4	130.03589248101204	460.0	74.0	409.2	136.46089460931935	375.0	70.0	322.86	127.5501105725538	280.0	64.0	237.9	113.38051602520343	200.0	50.0	145.44	89.34377143902923	118.0	34.0	914.8	252.660510039328	860.0	150.0	729.4	224.94811972020702	700.0	160.0	601.4	211.81877140421696	571.0	145.0	499.6	176.8747773671726	470.0	100.0	406.04	209.00900952017852	341.0	101.0	332.3	187.74501836051985	290.0	105.0	262.4	151.65964019687792	234.0	101.0	221.2	145.839818037642	180.0	70.0	132.6	97.22056564245233	104.0	40.0	2720.2	7062.559838666678	925.0	660.0	2877.8	4776.97985397181	1285.0	305.0	1554.56	1813.5193104273603	1014.0	190.0	954.7	698.9016708053755	835.0	205.0	787.06	648.0555191953819	699.0	283.0	585.0	400.3874386267644	485.0	255.0	472.3	359.8799322782054	347.0	196.0	285.9	211.15409185012373	240.0	120.0	155.66	115.45607586673579	112.0	57.0
9	1083.5	186.21360060560843	1020.0	70.0	922.1	155.22089180430982	885.0	85.0	760.74	179.43495036960167	716.0	90.0	655.7	206.80960355170194	580.0	100.0	527.82	195.1925431180425	458.0	80.0	407.2	161.5085449783079	350.0	65.0	318.62	140.392723343045	274.0	62.0	226.8	131.1170346205129	180.0	40.0	143.36	81.35314214812934	120.0	36.0	990.2	337.8332025234831	945.0	175.0	799.1	263.94862906989835	760.0	160.0	654.74	266.29711590513693	631.0	192.0	500.0	220.29365158645157	455.0	145.0	430.1	253.30739500384973	340.0	120.0	344.3	214.89135145299107	290.0	85.0	246.64	156.54318279889443	197.0	58.0	187.8	98.07830308153548	165.0	55.0	107.46	62.806327288536366	93.0	34.0	2118.8	4123.025828174981	1005.0	575.0	2406.1	2907.6117086854724	1330.0	360.0	1335.5	1106.0993206175956	1010.0	158.0	1216.4	1772.3650352514346	920.0	315.0	773.62	466.38664282552156	708.0	274.0	582.6	338.05928593677294	550.0	270.0	402.1	309.62856535670045	309.0	136.0	245.2	189.77115404900422	190.0	95.0	165.36	166.99552525306015	112.0	55.0
10	1124.8	219.67597809850614	1050.0	90.0	940.6	179.36937792548017	875.0	75.0	758.38	182.23632010012813	675.0	69.0	633.4	169.21219718675033	580.0	90.0	497.72	148.10671009700263	456.0	72.0	400.8	145.33611340126674	350.0	60.0	316.18	156.98705987977786	263.0	59.0	238.1	112.7587484567621	200.0	50.0	136.92	64.89364725876837	114.0	28.0	915.5	307.51981130235225	880.0	150.0	727.2	251.7136420136135	660.0	150.0	613.74	221.32195206225353	553.0	115.0	514.3	227.64607919693535	450.0	100.0	410.98	213.1583553240277	355.0	112.0	347.3	209.34170510184902	275.0	85.0	245.22	134.7784999189561	200.0	57.0	189.6	93.99032832255573	160.0	55.0	104.34	54.42151609557946	95.0	34.0	2580.5	7089.478956078992	950.0	665.0	4567.5	9118.922758348559	1580.0	615.0	1685.12	1531.022747094638	1074.0	325.0	1084.3	792.6317944772097	960.0	340.0	777.3	444.2443021581706	764.0	267.0	553.8	385.8292394573045	485.0	235.0	381.5	264.4361831321405	304.0	148.0	292.5	205.24129676795047	245.0	95.0	188.74	141.9738644322193	144.0	74.0
11	1093.9	180.13964841004025	1030.0	80.0	951.4	179.9552132834134	900.0	120.0	784.56	155.43333495798646	746.0	109.0	635.3	165.14123126168786	580.0	75.0	492.86	147.8659657878845	439.0	68.0	401.3	130.8453864357286	365.0	70.0	304.6	100.38773316345464	280.0	59.0	229.6	80.20075820191238	220.0	50.0	144.94	68.53176215626169	125.0	41.0	909.7	338.2021838659785	870.0	175.0	789.6	264.8228681876841	735.0	155.0	612.44	230.87039173046367	545.0	133.0	508.9	234.36953899361754	425.0	115.0	406.36	166.90416532861127	381.0	117.0	335.2	190.2018067020586	270.0	80.0	271.02	152.45638422483034	219.0	75.0	205.7	108.945867384688	165.0	55.0	124.34	72.28733630380214	98.0	37.0	1683.3	2817.0265342998623	945.0	525.0	4126.7	11800.288992780275	1320.0	345.0	1458.04	1457.515389110849	1010.0	188.0	1079.5	763.2458266634624	865.0	265.0	842.22	553.0893872630628	808.0	285.0	665.9	343.12908016745774	640.0	275.0	428.66	304.4040450228325	312.0	175.0	354.9	277.65429780737975	280.0	130.0	180.6	156.37393670560343	138.0	78.0
12	1106.1	219.50769066851907	1030.0	70.0	941.4	195.41212600526868	890.0	90.0	787.32	219.16355591754808	704.0	79.0	657.5	211.1458636998977	570.0	80.0	518.46	182.88746995534348	448.0	79.0	426.6	185.96849955915343	375.0	75.0	310.6	167.03510790467755	262.0	51.0	210.2	93.12726168360622	180.0	40.0	132.78	64.25196298538084	112.0	33.0	922.0	261.65749839178403	905.0	175.0	771.4	269.4289509239117	705.0	165.0	619.48	229.9350140954412	571.0	151.0	502.1	216.7169871635644	470.0	110.0	408.76	207.93837082319862	358.0	103.0	352.0	147.14797060280938	305.0	85.0	258.08	150.2568628997852	215.0	70.0	203.0	116.51071828268624	170.0	60.0	130.42	93.79767393898229	98.0	35.0	2266.5	5607.08469147504	980.0	715.0	3221.8	8363.253363869997	1285.0	360.0	1672.52	1881.522285466497	1034.0	253.0	1171.1	1153.9198850050645	940.0	250.0	764.96	419.1341223585268	749.0	300.0	659.7	451.8725461673879	585.0	325.0	412.72	292.94982091777683	318.0	160.0	314.8	265.51448057298006	220.0	110.0	163.6	132.25839416945462	124.0	63.0
13	1110.6	219.73730873132322	1030.0	70.0	949.0	174.20236693703288	895.0	95.0	753.3	152.0784951492771	701.0	74.0	638.9	160.27687533663982	585.0	85.0	489.6	179.3413313525723	425.0	51.0	399.2	162.3979399779779	350.0	60.0	282.82	90.22937997183075	248.0	52.0	209.5	84.76199596278958	185.0	45.0	146.4	72.70252104058405	123.0	35.0	899.7	371.4058875857158	825.0	165.0	784.3	259.8883015699808	745.0	160.0	571.9	219.6414663431606	507.0	132.0	510.3	200.66281582935505	470.0	130.0	373.66	187.83187302812195	306.0	78.0	348.3	209.1544062566353	300.0	100.0	251.14	138.98543052777114	198.0	69.0	171.9	114.6949841707971	140.0	50.0	110.1	68.06139533798537	89.0	32.0	3305.04	13835.88086795789	1020.0	605.0	4121.7	7290.401335061234	1550.0	595.0	1330.62	812.3714975927026	1038.0	260.0	1208.1	1236.7803549800776	940.0	265.0	773.78	475.5390260036764	696.0	267.0	589.2	455.97199984918433	480.0	220.0	399.46	262.45628476784736	359.0	171.0	294.8	226.95827943932915	250.0	130.0	164.44	134.32948486855187	130.0	68.0
14	1113.2	206.50961774750883	1020.0	60.0	961.8	201.07478884005002	900.0	100.0	788.44	195.16262682463287	725.0	105.0	648.5	184.5626826809359	580.0	70.0	542.2	186.11704799817653	490.0	100.0	405.6	134.0610444400745	360.0	70.0	301.3	111.52437791212677	270.0	55.0	206.5	95.59357359745114	180.0	40.0	159.2	93.25407890448133	120.0	40.0	889.4	259.30295062343623	850.0	160.0	808.6	286.7970809763684	735.0	185.0	633.8	227.8878866655463	575.0	135.0	471.3	198.06465121420854	420.0	100.0	407.0	202.88574681979574	325.0	80.0	308.1	143.27831925199555	275.0	75.0	238.3	126.85038510789083	190.0	60.0	177.5	90.30112363250485	160.0	50.0	122.4	73.48634175302526	100.0	40.0	2391.06	7355.3700492918915	990.0	730.0	2597.2	4409.96188169238	1385.0	400.0	1473.6	1082.9360763473278	1070.0	245.0	1075.2	676.6233453814253	990.0	235.0	832.0	521.7666183653417	790.0	250.0	629.6	413.2304857382068	510.0	280.0	395.4	310.11701929524224	290.0	130.0	323.0	249.870673620082	255.0	130.0	175.7	135.72294268736283	125.0	80.0
15	1129.1	226.5244429025778	1055.0	95.0	954.5	210.6669303795818	875.0	90.0	791.9	194.2543110814722	720.0	100.0	648.8	193.62715395180174	600.0	100.0	508.6	187.85885524762867	445.0	65.0	404.6	172.41844800403817	340.0	50.0	311.3	119.07603037597873	280.0	65.0	227.6	103.19267063472712	195.0	55.0	142.9	61.73084293687371	130.0	40.0	865.1	278.27206729088607	790.0	120.0	743.3	244.55713426353347	710.0	160.0	609.8	270.1102655501185	525.0	125.0	516.9	251.09334656033536	440.0	120.0	379.1	163.88647832502164	330.0	80.0	326.1	168.80982665638152	285.0	85.0	243.5	128.45134282967803	210.0	75.0	179.9	113.65813528811617	150.0	60.0	137.9	102.48720048194436	105.0	45.0	2105.3	4967.512341060248	1015.0	543.0	2218.2	3101.8307985817514	1245.0	245.0	1433.8	1208.3771402717423	1030.0	250.0	1061.1	874.8528245633458	900.0	220.0	812.2	487.03925131680336	755.0	265.0	575.3	335.4732974967357	530.0	240.0	432.9	299.5191263854565	365.0	190.0	295.8	240.85361663563341	220.0	130.0	176.0	151.17719885798076	130.0	65.0
16	1133.0	268.87532314055784	1025.0	85.0	998.9	247.2552151404322	940.0	130.0	828.3	222.31134324036037	770.0	130.0	665.5	197.5985881027545	580.0	90.0	525.1	169.7740328266435	460.0	80.0	399.3	134.54190890769033	340.0	60.0	300.9	101.65394853386292	270.0	50.0	241.2	121.15004471040587	220.0	60.0	152.5	86.39087821282892	120.0	30.0	862.7	229.8346133526226	805.0	145.0	747.3	250.7558472887421	680.0	120.0	615.2	212.8141409442958	550.0	115.0	491.8	204.86694376220055	435.0	105.0	403.7	180.0485624726975	360.0	110.0	296.3	140.12732305537938	270.0	80.0	251.4	132.5508859786964	210.0	70.0	177.8	96.57341374531732	150.0	40.0	109.5	55.72977732602276	100.0	30.0	4241.2	16326.485347372833	1000.0	545.0	2728.9	4865.947206055694	1225.0	250.0	1482.2	1670.4880917403943	1055.0	245.0	1117.2	688.9489579545547	965.0	230.0	827.0	455.590415024972	775.0	250.0	583.6	395.2483428494703	510.0	250.0	438.4	359.38983083143927	330.0	165.0	352.4	315.7070627891456	210.0	115.0	191.8	180.2432699537943	130.0	70.0
17	1110.9	245.77272493755763	1030.0	60.0	943.4	188.46653910876694	870.0	90.0	796.0	195.7374039705526	740.0	105.0	649.9	193.69086585368836	580.0	90.0	510.0	167.59137414219353	460.0	75.0	417.4	150.92723512683293	370.0	80.0	332.7	144.43799130884275	275.0	65.0	237.2	121.65591484248355	210.0	60.0	158.2	91.33554520657235	120.0	40.0	847.7	218.41881278355527	805.0	135.0	734.3	225.4882693089811	675.0	145.0	614.0	274.4102951804289	510.0	125.0	486.8	251.17051232703704	390.0	100.0	385.2	180.65805637538932	315.0	85.0	328.0	189.67808987275725	270.0	80.0	246.9	137.3831551287541	205.0	55.0	181.3	92.48155699293986	150.0	50.0	115.9	80.83022486994113	100.0	30.0	2455.0	6356.243490705128	995.0	540.0	3852.3	7679.867272501025	1370.0	415.0	1717.0	1889.7295514908417	1035.0	180.0	1079.9	841.4807715503006	930.0	210.0	820.4	630.6176545757552	640.0	280.0	625.3	391.7751751691113	610.0	320.0	474.3	325.0120588283431	370.0	200.0	297.0	220.12163763141362	250.0	130.0	175.9	138.06816498316397	145.0	85.0
18	1079.0	164.11070419787742	1020.0	70.0	933.1	170.00710026764804	890.0	100.0	758.7	158.3095994970908	700.0	70.0	645.0	170.56353417984516	600.0	100.0	512.8	154.09612636797902	450.0	70.0	403.6	125.23529369901594	365.0	75.0	314.9	128.12158840000936	270.0	50.0	221.8	100.62812828439273	190.0	35.0	143.0	80.49719237214413	120.0	30.0	859.4	289.3804597844341	800.0	155.0	747.8	281.77138092984376	655.0	145.0	617.6	219.94544778194432	580.0	150.0	534.5	220.70765434589867	485.0	125.0	398.8	189.0501510075027	340.0	80.0	312.2	177.909181234912	270.0	90.0	273.4	169.22413563321302	220.0	85.0	179.3	106.0041451447951	150.0	35.0	131.1	91.1862895063693	100.0	40.0	2759.7	5956.788751695266	1025.0	685.0	3734.0	7911.075601441129	1340.0	385.0	1617.9	1556.44070451356	1060.0	275.0	1242.2	1192.7843497675956	1010.0	225.0	888.3	562.0651944643814	875.0	210.0	574.8	329.3289166677219	565.0	250.0	411.0	299.49620998934154	325.0	200.0	302.8	253.8275880286547	215.0	135.0	165.7	117.23459171656415	120.0	60.0
19	1119.2	277.29457771165096	1010.0	50.0	947.3	254.86322336944303	885.0	95.0	770.6	237.72414197293395	710.0	80.0	597.3	149.85417153777445	540.0	60.0	492.6	127.12532589869137	460.0	70.0	390.2	139.64587246664217	340.0	60.0	315.4	152.33814063099595	270.0	60.0	225.8	119.58835117758639	190.0	45.0	142.7	67.52261125210597	120.0	30.0	858.1	220.6358808516691	850.0	170.0	740.5	231.91070643153967	705.0	165.0	607.7	245.71008209767146	520.0	135.0	504.6	209.61927970547563	440.0	115.0	369.4	172.20976168673485	310.0	90.0	293.2	156.66266919464866	250.0	70.0	245.7	135.7601494615345	190.0	50.0	194.9	110.95995273571052	160.0	60.0	125.1	83.76850014272439	100.0	30.0	2294.3	3631.2958576878036	1020.0	625.0	2839.8	3873.984188784138	1295.0	315.0	1512.7	1298.353156576407	1030.0	170.0	1115.7	722.2135656046861	990.0	240.0	731.0	422.06682414092205	720.0	245.0	592.9	336.8760075227151	560.0	240.0	427.5	301.987942096563	350.0	180.0	289.6	183.5999163750607	270.0	135.0	172.2	142.27289185778068	130.0	70.0
